ファイル,説明
https://github.com/opencv/opencv/tree/master/data/haarcascades,ダウンロード元
haarcascade_eye.xml,目
haarcascade_eye_tree_eyeglasses.xml,メガネ
haarcascade_frontalcatface.xml,猫の顔(正面)
haarcascade_frontalcatface_extended.xml,猫の顔(正面)
haarcascade_frontalface_alt.xml,顔(正面)
haarcascade_frontalface_alt2.xml,顔(正面)
haarcascade_frontalface_alt_tree.xml,顔(正面)
haarcascade_frontalface_default.xml,顔(正面)
haarcascade_fullbody.xml,全身
haarcascade_lefteye_2spits.xml,左目
haarcascade_licence_plate_rus_16stages.xml,ロシアのナンバープレート(全体)
haarcascade_lowerbody.xml,下半身
haarcascade_profileface.xml,顔(証明写真)
haarcascade_righteye_2splits.xml,右目
haarcascade_russian_plate_number.xml,笑顔
haarcascade_upperbody.xml,上半身